id,category_name,slug,description,cat_image
1,House and Appartments,House-and-Appartments,House and Appartments,photos/categories/house_lV3JnPq.webp
2,Cars,Cars,Cars,photos/categories/cat_car1_fpu2z6O.jpg
3,Bikes,Bikes,Bikes,photos/categories/cat_bike1_Pt6KhEv.jpg
4,Furniture,Furniture,Furniture,photos/categories/s_6GHCPa2.jpg
5,Other,Other,Other,photos/categories/f2_A2ramhw.jpg
